Area,Year,Item,Area Harvested,Production,Yield
Bangladesh,1967,"Chillies and peppers, dry",80500,55900,6944
Bangladesh,1967,Coconuts,37600,94493,25131
Bangladesh,1967,Cucumbers and gherkins,2519,13378,53108
Bangladesh,1967,Fibre crops nes,350,350,10000
Bangladesh,1967,"Fruit, fresh nes",9000,60000,66667
Bangladesh,1967,"Fruit, tropical fresh nes",16700,207300,124132
Bangladesh,1967,Garlic,14600,54900,37603
Bangladesh,1967,Ginger,4700,32000,68085
Bangladesh,1967,Grapefruit (inc. pomelos),700,3000,42857
Bangladesh,1967,"Groundnuts, with shell",28300,41700,14735
Bangladesh,1967,Jute,971000,1264140,13019
Bangladesh,1967,Lemons and limes,1500,4000,26667
Bangladesh,1967,Lentils,70800,49800,7034
Bangladesh,1967,Lettuce and chicory,11500,65000,56522
Bangladesh,1967,Linseed,17800,9100,5112
Bangladesh,1967,Maize,3200,3000,9375
Bangladesh,1967,"Mangoes, mangosteens, guavas",38000,510000,134211
Bangladesh,1967,"Melons, other (inc.cantaloupes)",6000,100000,166667
Bangladesh,1967,Millet,52600,46738,8886
Bangladesh,1967,Oilseeds nes,4856,3048,6277
Bangladesh,1967,"Onions, dry",34400,198100,57587
Bangladesh,1967,Oranges,1100,10000,90909
Bangladesh,1967,"Peas, dry",60000,39000,6500
Bangladesh,1967,Pigeon peas,3642,3048,8369
Bangladesh,1967,Pineapples,10100,92451,91536
Bangladesh,1967,Potatoes,70400,600500,85298
Bangladesh,1967,Pulses nes,141600,85300,6024
Bangladesh,1967,"Rice, paddy",9889400,16757000,16944
Bangladesh,1967,Sesame seed,52200,30500,5843
Bangladesh,1967,Sorghum,809,610,7540
Bangladesh,1967,Spices nes,13400,41700,31119
Bangladesh,1967,Spinach,1500,6800,45333
Bangladesh,1967,Sugar cane,164300,8200000,499087
Bangladesh,1967,Sugar crops nes,12400,450000,362903
Bangladesh,1967,Sweet potatoes,58700,733000,124872
Bangladesh,1967,"Tangerines, mandarins, clementines, satsumas",700,4000,57143
Bangladesh,1967,Tea,40975,29300,7151
Bangladesh,1967,Tobacco,45700,38100,8337
Bangladesh,1967,Tomatoes,8015,59144,73792
Bangladesh,1967,"Vegetables, fresh nes",73000,520000,71233
