Area,Year,Item,Area Harvested,Production,Yeild
Bangladesh,Y1989,"Beans, dry",129918,83035,6391
Bangladesh,Y1990,"Beans, dry",126436,83260,6585
Bangladesh,Y1991,"Beans, dry",123727,82515,6669
Bangladesh,Y1992,"Beans, dry",121000,83000,6860
Bangladesh,Y1993,"Beans, dry",121000,82000,6777
Bangladesh,Y1994,"Beans, dry",121800,85000,6979
Bangladesh,Y1995,"Beans, dry",120200,82000,6822
Bangladesh,Y1996,"Beans, dry",119800,84000,7012
Bangladesh,Y1997,"Beans, dry",120000,83000,6917
Bangladesh,Y1998,"Beans, dry",84176,54000,6415
Bangladesh,Y1999,"Beans, dry",83771,57000,6804
Bangladesh,Y2000,"Beans, dry",79724,54000,6773
Bangladesh,Y2001,"Beans, dry",71630,53000,7399
Bangladesh,Y2002,"Beans, dry",69607,49000,7040
Bangladesh,Y2003,"Beans, dry",68600,48000,6997
Bangladesh,Y2004,"Beans, dry",47348,35000,7392
Bangladesh,Y2005,"Beans, dry",45729,34000,7435
Bangladesh,Y2006,"Beans, dry",47669,36865,7734
Bangladesh,Y2007,"Beans, dry",48009,41185,8579
Bangladesh,Y2008,"Beans, dry",46482,39727,8547
Bangladesh,Y2009,"Beans, dry",55340,48533,8770
Bangladesh,Y2010,"Beans, dry",59186,84470,14272
Bangladesh,Y2011,"Beans, dry",68000,50000,7353
Bangladesh,Y2012,"Beans, dry",67200,51000,7589
Bangladesh,Y2013,"Beans, dry",65000,51500,7923
Bangladesh,Y2014,"Beans, dry",77699,66000,8494
Bangladesh,Y2015,"Beans, dry",77840,66137,8497
Bangladesh,Y2016,"Beans, dry",83020,72105,8685
Bangladesh,Y2017,"Beans, dry",83020,73970,8910
Bangladesh,Y2018,"Beans, dry",81720,75532,9243
Bangladesh,Y2019,"Beans, dry",87380,76224,8723
Bangladesh,Y1961,"Beans, green",4266,15719,36847
Bangladesh,Y1962,"Beans, green",3952,15034,38041
Bangladesh,Y1963,"Beans, green",4281,15444,36076
Bangladesh,Y1964,"Beans, green",4329,16432,37958
Bangladesh,Y1965,"Beans, green",4251,17750,41755
Bangladesh,Y1966,"Beans, green",4222,18244,43212
Bangladesh,Y1967,"Beans, green",4236,19011,44880
Bangladesh,Y1968,"Beans, green",4192,21616,51565
Bangladesh,Y1969,"Beans, green",4150,23171,55834
Bangladesh,Y1970,"Beans, green",4549,25203,55403
Bangladesh,Y1971,"Beans, green",4502,24162,53669
Bangladesh,Y1972,"Beans, green",3923,20966,53444
Bangladesh,Y1973,"Beans, green",5948,22327,37537
Bangladesh,Y1974,"Beans, green",5995,22229,37079
Bangladesh,Y1975,"Beans, green",6632,26332,39704
Bangladesh,Y1976,"Beans, green",6989,29108,41648
Bangladesh,Y1977,"Beans, green",6479,24555,37899
Bangladesh,Y1978,"Beans, green",6878,32930,47877
Bangladesh,Y1979,"Beans, green",6866,32650,47553
Bangladesh,Y1980,"Beans, green",6904,32304,46790
Bangladesh,Y1981,"Beans, green",7017,31807,45328
Bangladesh,Y1982,"Beans, green",8406,32457,38612
Bangladesh,Y1983,"Beans, green",7870,34550,43901
Bangladesh,Y1984,"Beans, green",8037,35385,44028
Bangladesh,Y1985,"Beans, green",8314,36090,43409
Bangladesh,Y1986,"Beans, green",8549,37025,43309
Bangladesh,Y1987,"Beans, green",8679,35950,41422
Bangladesh,Y1988,"Beans, green",9316,38465,41289
Bangladesh,Y1989,"Beans, green",9642,37178,38558
Bangladesh,Y1990,"Beans, green",9978,41702,41794
Bangladesh,Y1991,"Beans, green",10137,41840,41275
Bangladesh,Y1992,"Beans, green",10722,42980,40086
Bangladesh,Y1993,"Beans, green",11201,44795,39992
Bangladesh,Y1994,"Beans, green",11760,47775,40625
Bangladesh,Y1995,"Beans, green",12185,49970,41009
Bangladesh,Y1996,"Beans, green",12950,54000,41699
Bangladesh,Y1997,"Beans, green",10232,47990,46902
Bangladesh,Y1998,"Beans, green",10494,49265,46946
Bangladesh,Y1999,"Beans, green",10521,49000,46574
Bangladesh,Y2000,"Beans, green",10927,49000,44843
Bangladesh,Y2001,"Beans, green",10931,50000,45741
Bangladesh,Y2002,"Beans, green",11331,51000,45009
Bangladesh,Y2003,"Beans, green",11331,50000,44127
Bangladesh,Y2004,"Beans, green",12545,59000,47031
Bangladesh,Y2005,"Beans, green",12950,60540,46749
Bangladesh,Y2006,"Beans, green",14320,73435,51281
Bangladesh,Y2007,"Beans, green",15449,82980,53712
Bangladesh,Y2008,"Beans, green",15595,82872,53140
Bangladesh,Y2009,"Beans, green",16273,88386,54315
Bangladesh,Y2010,"Beans, green",16589,88581,53397
Bangladesh,Y2011,"Beans, green",17304,94756,54760
Bangladesh,Y2012,"Beans, green",17125,94356,55098
Bangladesh,Y2013,"Beans, green",16997,93000,54716
Bangladesh,Y2014,"Beans, green",18222,110000,60367
Bangladesh,Y2015,"Beans, green",19907,122091,61331
Bangladesh,Y2016,"Beans, green",20211,128676,63666
Bangladesh,Y2017,"Beans, green",20880,137495,65850
Bangladesh,Y2018,"Beans, green",20594,134860,65485
Bangladesh,Y2019,"Beans, green",20873,144050,69013
Bangladesh,Y1961,Berries nes,500,2000,40000
Bangladesh,Y1962,Berries nes,600,3000,50000
Bangladesh,Y1963,Berries nes,600,3000,50000
Bangladesh,Y1964,Berries nes,600,3000,50000
Bangladesh,Y1965,Berries nes,600,3000,50000
Bangladesh,Y1966,Berries nes,800,3700,46250
Bangladesh,Y1967,Berries nes,800,3000,37500
Bangladesh,Y1968,Berries nes,600,3300,55000
Bangladesh,Y1969,Berries nes,591,2852,48257
Bangladesh,Y1970,Berries nes,600,2400,40000
Bangladesh,Y1971,Berries nes,500,2200,44000
Bangladesh,Y1972,Berries nes,524,2099,40057
Bangladesh,Y1973,Berries nes,510,2032,39843
Bangladesh,Y1974,Berries nes,522,2433,46609
Bangladesh,Y1975,Berries nes,522,2433,46609
Bangladesh,Y1976,Berries nes,535,2515,47009
Bangladesh,Y1977,Berries nes,528,2502,47386
Bangladesh,Y1978,Berries nes,527,2291,43472
Bangladesh,Y1979,Berries nes,617,2629,42609
Bangladesh,Y1980,Berries nes,613,2165,35318
Bangladesh,Y1981,Berries nes,567,1905,33598
Bangladesh,Y1982,Berries nes,616,2066,33539
Bangladesh,Y1983,Berries nes,643,2719,42286
Bangladesh,Y1984,Berries nes,775,3235,41742
Bangladesh,Y1985,Berries nes,969,3984,41115
Bangladesh,Y1986,Berries nes,1005,4020,40000
Bangladesh,Y1987,Berries nes,1000,4000,40000
Bangladesh,Y1988,Berries nes,1000,3000,30000
Bangladesh,Y1989,Berries nes,800,3000,37500
Bangladesh,Y1990,Berries nes,915,3310,36175
Bangladesh,Y1991,Berries nes,913,4065,44524
Bangladesh,Y1992,Berries nes,963,3935,40862
Bangladesh,Y1993,Berries nes,1105,4700,42534
Bangladesh,Y1994,Berries nes,1133,5005,44175
Bangladesh,Y1995,Berries nes,1215,5000,41152
Bangladesh,Y1996,Berries nes,1215,5000,41152
Bangladesh,Y1997,Berries nes,1620,7000,43210
Bangladesh,Y1998,Berries nes,1620,7000,43210
Bangladesh,Y1999,Berries nes,1618,7000,43263
Bangladesh,Y2000,Berries nes,1618,7000,43263
Bangladesh,Y2001,Berries nes,1620,6000,37037
Bangladesh,Y2002,Berries nes,1620,5000,30864
Bangladesh,Y2003,Berries nes,1620,5000,30864
Bangladesh,Y2004,Berries nes,1214,4000,32949
Bangladesh,Y2005,Berries nes,1214,4000,32949
Bangladesh,Y2006,Berries nes,3400,18415,54162
Bangladesh,Y2007,Berries nes,3027,23505,77651
Bangladesh,Y2008,Berries nes,3820,25431,66573
Bangladesh,Y2009,Berries nes,3260,23509,72113
Bangladesh,Y2010,Berries nes,3130,21407,68393
Bangladesh,Y2011,Berries nes,2580,14447,55996
Bangladesh,Y2012,Berries nes,2240,28508,127268
Bangladesh,Y2013,Berries nes,2104,27305,129777
Bangladesh,Y2014,Berries nes,2019,28259,139965
Bangladesh,Y2015,Berries nes,2160,28956,134056
Bangladesh,Y2016,Berries nes,1870,27727,148273
Bangladesh,Y2017,Berries nes,1990,27065,136005
Bangladesh,Y2018,Berries nes,1990,26796,134653
Bangladesh,Y2019,Berries nes,1931,27329,141528
Bangladesh,Y1961,Cabbages and other brassicas,5765,33185,57563
Bangladesh,Y1962,Cabbages and other brassicas,5340,31738,59434
Bangladesh,Y1963,Cabbages and other brassicas,5785,32604,56360
Bangladesh,Y1964,Cabbages and other brassicas,5850,34690,59299
Bangladesh,Y1965,Cabbages and other brassicas,5745,37472,65225
Bangladesh,Y1966,Cabbages and other brassicas,5705,38515,67511
Bangladesh,Y1967,Cabbages and other brassicas,5725,40134,70103
Bangladesh,Y1968,Cabbages and other brassicas,5665,45634,80554
Bangladesh,Y1969,Cabbages and other brassicas,5969,50457,84532
Bangladesh,Y1970,Cabbages and other brassicas,6127,51371,83844
