FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
1990-1991,Tangail,339330,176940
1990-1991,Barisal,939650,531860
1990-1991,Jessore,716000,529220
1990-1991,Khulna,997570,627900
1990-1991,Kushtia,233800,185390
1990-1991,Patuakhali,768630,332770
1990-1991,Bogra,619240,486210
1990-1991,Dinajpur,1057600,793460
1990-1991,Pabna,331000,203800
1990-1991,Rajshahi,1011270,730970
1990-1991,Rangpur,1522980,112230
1991-1992,Bandarban,19330,19330
1991-1992,Chittagong,658900,580430
1991-1992,Comilla,814520,528270
1991-1992,Khagrachari,22560,17290
1991-1992,Noakhali,653750,368800
1991-1992,Rangamati,21600,17970
1991-1992,Sylhet,903670,580130
1991-1992,Dhaka,488070,261330
1991-1992,Faridpur,549470,246230
1991-1992,Jamalpur,392950,246080
1991-1992,Kishoregonj,436420,307390
1991-1992,Mymensingh,578100,344280
1991-1992,Tangail,257520,145180
1991-1992,Barisal,931550,484260
1991-1992,Jessore,776650,630830
1991-1992,Khulna,1059780,655250
1991-1992,Kushtia,231770,190190
1991-1992,Patuakhali,774550,391020
1991-1992,Bogra,607990,506820
1991-1992,Dinajpur,1043090,713620
1991-1992,Pabna,307090,194260
1991-1992,Rajshahi,978820,710750
1991-1992,Rangpur,1560020,129180
1992-1993,Bandarban,19990,20720
1992-1993,Chittagong,636490,581510
1992-1993,Comilla,866650,586350
1992-1993,Khagrachari,22770,18310
1992-1993,Noakhali,651130,381760
1992-1993,Rangamati,22300,18650
1992-1993,Sylhet,1028030,650460
1992-1993,Dhaka,489450,266390
1992-1993,Faridpur,602080,266490
1992-1993,Jamalpur,410070,244070
1992-1993,Kishoregonj,478800,342090
1992-1993,Mymensingh,581350,379660
1992-1993,Tangail,335570,167900
1992-1993,Barisal,930230,509500
1992-1993,Jessore,801050,591260
1992-1993,Khulna,1011220,643210
1992-1993,Kushtia,239530,199020
1992-1993,Patuakhali,762100,406720
1992-1993,Bogra,615730,537340
1992-1993,Dinajpur,1028070,735430
1992-1993,Pabna,378380,234040
1992-1993,Rajshahi,997810,766840
1992-1993,Rangpur,1532490,131990
1993-1994,Bandarban,20610,20220
1993-1994,Chittagong,644450,593680
1993-1994,Comilla,937300,577940
1993-1994,Khagrachari,23550,21900
1993-1994,Noakhali,652340,391270
1993-1994,Rangamati,19000,16580
1993-1994,Sylhet,1016850,623970
1993-1994,Dhaka,457690,242210
1993-1994,Faridpur,540080,204900
1993-1994,Jamalpur,472450,293650
1993-1994,Kishoregonj,427710,307220
1993-1994,Mymensingh,578700,412510
1993-1994,Tangail,325410,173870
1993-1994,Barisal,949770,494550
1993-1994,Jessore,777330,586980
1993-1994,Khulna,974020,648610
1993-1994,Kushtia,243000,178100
1993-1994,Patuakhali,770440,430490
1993-1994,Bogra,588950,508880
1993-1994,Dinajpur,957730,684730
1993-1994,Pabna,326110,149470
1993-1994,Rajshahi,967010,708430
1993-1994,Rangpur,1541410,159020
1994-1995,Bandarban,20910,19830
1994-1995,Chittagong,625790,608260
1994-1995,Comilla,953360,584110
1994-1995,Khagrachari,21820,20010
1994-1995,Noakhali,647260,370400
1994-1995,Rangamati,21710,19770
1994-1995,Sylhet,1076370,644730
1994-1995,Dhaka,451350,231800
1994-1995,Faridpur,599730,220370
1994-1995,Jamalpur,402950,237160
1994-1995,Kishoregonj,466690,335850
1994-1995,Mymensingh,569780,368540
1994-1995,Tangail,216780,146490
1994-1995,Barisal,894440,379660
1994-1995,Jessore,772250,525490
1994-1995,Khulna,962060,547390
1994-1995,Kushtia,243080,170840
1994-1995,Patuakhali,777220,348230
1994-1995,Bogra,582220,470940
1994-1995,Dinajpur,861720,518250
1994-1995,Pabna,348710,172010
1994-1995,Rajshahi,940960,609980
1994-1995,Rangpur,1278560,953840
1995-1996,Bandarban,23550,22420
1995-1996,Chittagong,236150,533030
1995-1996,Comilla,956940,609490
1995-1996,Khagrachari,22310,20540
1995-1996,Noakhali,679960,398220
1995-1996,Rangamati,23470,18970
1995-1996,Sylhet,1050480,661280
1995-1996,Dhaka,405740,188060
1995-1996,Faridpur,558910,202560
1995-1996,Jamalpur,430320,239500
1995-1996,Kishoregonj,501020,344270
1995-1996,Mymensingh,591570,346300
1995-1996,Tangail,281000,164920
1995-1996,Barisal,897090,480630
1995-1996,Jessore,1436670,628160
1995-1996,Khulna,896610,594910
1995-1996,Kushtia,269270,196900
1995-1996,Patuakhali,812490,428060
1995-1996,Bogra,558400,363210
1995-1996,Dinajpur,990400,624450
1995-1996,Pabna,324570,179180
1995-1996,Rajshahi,924810,576970
1995-1996,Rangpur,1390210,968300
1996-1997,Bandarban,22540,21840
1996-1997,Chittagong,615910,553840
1996-1997,Comilla,882090,579340
1996-1997,Khagrachari,22200,20560
1996-1997,Noakhali,685600,416310
1996-1997,Rangamati,23570,20900
1996-1997,Sylhet,1061700,732580
1996-1997,Dhaka,426630,243080
1996-1997,Faridpur,561970,245790
1996-1997,Jamalpur,455680,309380
1996-1997,Kishoregonj,516050,359390
1996-1997,Mymensingh,615079,400240
1996-1997,Tangail,309970,195140
1996-1997,Barisal,884830,477870
1996-1997,Jessore,786980,594860
1996-1997,Khulna,937240,647200
1996-1997,Kushtia,257750,211370
1996-1997,Patuakhali,815010,372190
1996-1997,Bogra,605280,424030
1996-1997,Dinajpur,1030900,671870
1996-1997,Pabna,372020,208420
1996-1997,Rajshahi,980020,676540
1996-1997,Rangpur,1469520,1169040
1997-1998,Bandarban,18190,17870
1997-1998,Chittagong,448770,406090
1997-1998,Comilla,799370,462280
1997-1998,Khagrachari,19030,18490
1997-1998,Noakhali,585410,313070
1997-1998,Rangamati,20190,19530
1997-1998,Sylhet,1051260,690980
1997-1998,Dhaka,393290,208110
1997-1998,Faridpur,545440,234360
1997-1998,Jamalpur,445560,280550
1997-1998,Kishoregonj,419190,242460
1997-1998,Mymensingh,534180,242760
1997-1998,Tangail,295970,151690
1997-1998,Barisal,871970,346050
1997-1998,Jessore,789160,571600
1997-1998,Khulna,892160,488940
1997-1998,Kushtia,259720,211720
1997-1998,Patuakhali,809120,287450
1997-1998,Bogra,579610,405200
1997-1998,Dinajpur,959050,600440
1997-1998,Pabna,374870,212800
1997-1998,Rajshahi,991830,720270
1997-1998,Rangpur,1441770,1139290
1998-1999,Bandarban,17990,18490
1998-1999,Chittagong,455640,399950
1998-1999,Comilla,567600,336120
1998-1999,Khagrachari,17510,15730
1998-1999,Noakhali,514030,304930
1998-1999,Rangamati,21110,20180
1998-1999,Sylhet,1049330,641100
1998-1999,Dhaka,277420,112120
1998-1999,Faridpur,390940,136560
1998-1999,Jamalpur,323110,208310
1998-1999,Kishoregonj,362720,188170
1998-1999,Mymensingh,477100,236200
1998-1999,Tangail,162880,69010
1998-1999,Barisal,820960,342100
1998-1999,Jessore,656380,475630
1998-1999,Khulna,886930,601310
1998-1999,Kushtia,259010,206610
1998-1999,Patuakhali,790300,422600
1998-1999,Bogra,529900,347760
1998-1999,Dinajpur,943070,473000
1998-1999,Pabna,313940,165760
1998-1999,Rajshahi,915420,732660
1998-1999,Rangpur,1268330,762280
1999-2000,Bandarban,19250,17550
1999-2000,Chittagong,614440,570110
1999-2000,Comilla,832240,538360
1999-2000,Khagrachari,26620,23800
1999-2000,Noakhali,658540,466820
1999-2000,Rangamati,24080,21650
1999-2000,Sylhet,1059740,750870
1999-2000,Dhaka,426970,241720
1999-2000,Faridpur,534010,265530
1999-2000,Jamalpur,422720,295220
1999-2000,Kishoregonj,515480,380920
1999-2000,Mymensingh,612230,467410
1999-2000,Tangail,313510,229520
1999-2000,Barisal,876760,532156
1999-2000,Jessore,762940,691260
1999-2000,Khulna,922940,740020
1999-2000,Kushtia,266600,262220
1999-2000,Patuakhali,822480,518740
1999-2000,Bogra,579900,441180
1999-2000,Dinajpur,1034870,630180
1999-2000,Pabna,365320,239230
1999-2000,Rajshahi,970660,800330
1999-2000,Rangpur,1435000,1181190
2000-2001,Bandarban,21350,23650
2000-2001,Chittagong,624270,666350
2000-2001,Comilla,794680,645310
2000-2001,Khagrachari,36690,36360
2000-2001,Noakhali,675760,543080
2000-2001,Rangamati,24110,27370
2000-2001,Sylhet,1007660,762830
2000-2001,Dhaka,491320,392150
2000-2001,Faridpur,553110,331350
2000-2001,Jamalpur,432590,318490
2000-2001,Kishoregonj,474630,412290
2000-2001,Mymensingh,655150,538040
2000-2001,Tangail,365390,277650
2000-2001,Barisal,937640,608300
2000-2001,Jessore,622400,517220
2000-2001,Khulna,850850,664430
2000-2001,Kushtia,255720,225210
2000-2001,Patuakhali,862300,591110
2000-2001,Bogra,570890,473100
2000-2001,Dinajpur,1034270,799250
2000-2001,Pabna,416760,321200
2000-2001,Rajshahi,971600,853070
2000-2001,Rangpur,1430750,1221120
2001-2002,Bandarban,20520,20520
2001-2002,Chittagong,647120,647120
2001-2002,Comilla,743070,743070
2001-2002,Khagrachari,43770,43770
2001-2002,Noakhali,686420,686420
2001-2002,Rangamati,25140,25140
2001-2002,Sylhet,969430,969430
2001-2002,Dhaka,502040,502040
2001-2002,Faridpur,579080,579080
2001-2002,Jamalpur,425200,425200
2001-2002,Kishoregonj,482630,482630
2001-2002,Mymensingh,657900,657900
2001-2002,Tangail,352170,352170
2001-2002,Barisal,938790,938790
2001-2002,Jessore,658140,658140
2001-2002,Khulna,873040,873040
2001-2002,Kushtia,261910,261910
2001-2002,Patuakhali,809750,809750
2001-2002,Bogra,565080,565080
2001-2002,Dinajpur,951700,951700
2001-2002,Pabna,417320,417320
2001-2002,Rajshahi,959560,959560
2001-2002,Rangpur,1385080,1385080
2002-2003,Bandarban,19560,21440
2002-2003,Chittagong,657900,681580
2002-2003,Comilla,766880,642850
2002-2003,Khagrachari,48570,47080
2002-2003,Noakhali,697270,552520
2002-2003,Rangamati,25570,29960
2002-2003,Sylhet,1006000,800970
2002-2003,Dhaka,473940,371430
2002-2003,Faridpur,539340,284220
2002-2003,Jamalpur,435480,329990
2002-2003,Kishoregonj,452480,391800
2002-2003,Mymensingh,646390,480370
2002-2003,Tangail,371780,273880
2002-2003,Barisal,903560,623030
2002-2003,Jessore,660070,649750
2002-2003,Khulna,930330,775420
2002-2003,Kushtia,269620,243820
2002-2003,Patuakhali,790100,476420
2002-2003,Bogra,573460,478730
2002-2003,Dinajpur,964890,666910
2002-2003,Pabna,425880,302180
2002-2003,Rajshahi,939810,818810
2002-2003,Rangpur,1442120,1171790
2003-2004,Bandarban,19330,21480
2003-2004,Chittagong,656800,697760
2003-2004,Comilla,657020,544970
2003-2004,Khagrachari,56760,63740
2003-2004,Noakhali,706710,551230
