FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
1992-1993,Dinajpur,149300,172400
1992-1993,Pabna,242040,255140
1992-1993,Rajshahi,448720,537220
1992-1993,Rangpur,467010,514950
1993-1994,Bandarban,6800,6050
1993-1994,Chittagong,278530,271820
1993-1994,Comilla,551140,630450
1993-1994,Khagrachari,4050,3620
1993-1994,Noakhali,272560,238390
1993-1994,Rangamati,14650,14420
1993-1994,Sylhet,751980,532570
1993-1994,Dhaka,487660,544810
1993-1994,Faridpur,202500,218340
1993-1994,Jamalpur,241120,238720
1993-1994,Kishoregonj,662560,735400
1993-1994,Mymensingh,274730,285140
1993-1994,Tangail,221450,264880
1993-1994,Barisal,99780,100350
1993-1994,Jessore,276850,325500
1993-1994,Khulna,124470,113370
1993-1994,Kushtia,51420,52220
1993-1994,Patuakhali,15910,14540
1993-1994,Bogra,447690,517120
1993-1994,Dinajpur,223960,267210
1993-1994,Pabna,208980,259630
1993-1994,Rajshahi,469080,584140
1993-1994,Rangpur,490320,353510
1994-1995,Bandarban,6870,6330
1994-1995,Chittagong,276670,269000
1994-1995,Comilla,566320,570770
1994-1995,Khagrachari,3830,2580
1994-1995,Noakhali,215060,186040
1994-1995,Rangamati,12650,11200
1994-1995,Sylhet,746420,514610
1994-1995,Dhaka,464590,481820
1994-1995,Faridpur,199710,200400
1994-1995,Jamalpur,263790,273810
1994-1995,Kishoregonj,672500,634460
1994-1995,Mymensingh,280890,256870
1994-1995,Tangail,219040,242480
1994-1995,Barisal,76400,65860
1994-1995,Jessore,325530,364600
1994-1995,Khulna,119980,114660
1994-1995,Kushtia,77000,81130
1994-1995,Patuakhali,19790,19530
1994-1995,Bogra,473210,542040
1994-1995,Dinajpur,268070,272140
1994-1995,Pabna,230500,250320
1994-1995,Rajshahi,507230,573420
1994-1995,Rangpur,555840,610100
1995-1996,Bandarban,8220,7810
1995-1996,Chittagong,277930,300320
1995-1996,Comilla,578250,613730
1995-1996,Khagrachari,3680,3230
1995-1996,Noakhali,231690,232540
1995-1996,Rangamati,12390,12100
1995-1996,Sylhet,776160,555980
1995-1996,Dhaka,477460,535750
1995-1996,Faridpur,203760,219870
1995-1996,Jamalpur,270580,289150
1995-1996,Kishoregonj,695230,723800
1995-1996,Mymensingh,291940,289530
1995-1996,Tangail,240270,260520
1995-1996,Barisal,82120,77410
1995-1996,Jessore,362610,424040
1995-1996,Khulna,121880,120510
1995-1996,Kushtia,85870,90690
1995-1996,Patuakhali,21220,21500
1995-1996,Bogra,473780,554670
1995-1996,Dinajpur,282310,293840
1995-1996,Pabna,244240,292220
1995-1996,Rajshahi,535400,639420
1995-1996,Rangpur,581360,662390
1996-1997,Bandarban,8560,8040
1996-1997,Chittagong,264100,251090
1996-1997,Comilla,584280,636150
1996-1997,Khagrachari,3660,3430
1996-1997,Noakhali,230070,243810
1996-1997,Rangamati,13490,13520
1996-1997,Sylhet,731670,568630
1996-1997,Dhaka,483470,552780
1996-1997,Faridpur,200610,242950
1996-1997,Jamalpur,278940,303470
1996-1997,Kishoregonj,681350,727130
1996-1997,Mymensingh,305960,332490
1996-1997,Tangail,251910,283330
1996-1997,Barisal,89200,88110
1996-1997,Jessore,370730,447600
1996-1997,Khulna,130690,134680
1996-1997,Kushtia,89710,94650
1996-1997,Patuakhali,22230,25860
1996-1997,Bogra,478300,572570
1996-1997,Dinajpur,271920,290350
1996-1997,Pabna,250780,302060
1996-1997,Rajshahi,540160,648810
1996-1997,Rangpur,594270,688410
1997-1998,Bandarban,9210,8880
1997-1998,Chittagong,295450,289490
1997-1998,Comilla,553210,638610
1997-1998,Khagrachari,3990,3800
1997-1998,Noakhali,247870,262710
1997-1998,Rangamati,14600,14640
1997-1998,Sylhet,732300,598200
1997-1998,Dhaka,497840,608920
1997-1998,Faridpur,209530,251600
1997-1998,Jamalpur,292520,335780
1997-1998,Kishoregonj,698400,806730
1997-1998,Mymensingh,322650,381810
1997-1998,Tangail,256470,301880
1997-1998,Barisal,97140,95830
1997-1998,Jessore,445950,593260
1997-1998,Khulna,132150,138150
1997-1998,Kushtia,111470,129900
1997-1998,Patuakhali,24210,28510
1997-1998,Bogra,491320,591810
1997-1998,Dinajpur,281960,313190
1997-1998,Pabna,253920,307110
1997-1998,Rajshahi,549750,692760
1997-1998,Rangpur,612520,751650
1998-1999,Bandarban,9260,9270
1998-1999,Chittagong,352130,376170
1998-1999,Comilla,634390,802910
1998-1999,Khagrachari,3790,4030
1998-1999,Noakhali,251120,321060
1998-1999,Rangamati,14050,13870
1998-1999,Sylhet,831270,686350
1998-1999,Dhaka,504440,678180
1998-1999,Faridpur,248380,342800
1998-1999,Jamalpur,366060,453480
1998-1999,Kishoregonj,736950,835030
1998-1999,Mymensingh,406950,492110
1998-1999,Tangail,301880,304080
1998-1999,Barisal,157880,194350
1998-1999,Jessore,547570,732810
1998-1999,Khulna,193360,214930
1998-1999,Kushtia,124240,165940
1998-1999,Patuakhali,13400,13660
1998-1999,Bogra,571510,705100
1998-1999,Dinajpur,463010,510360
1998-1999,Pabna,349930,467500
1998-1999,Rajshahi,688320,914820
1998-1999,Rangpur,814880,1036030
1999-2000,Bandarban,6920,7210
1999-2000,Chittagong,328010,362880
1999-2000,Comilla,658750,849410
