DistrictName ,FinancialYear,TotalArea(Acres),Production(Tons)
Gopalgonj,2011-2012,88891,40908
Gopalgonj,2012-2013,68984,38251
Gopalgonj,2013-2014,43006,21450
Gopalgonj,2014-2015,54197,29274
Hobigonj,2006-2007,215860,168812
Hobigonj,2007-2008,213335,166051
Hobigonj,2008-2009,236220,207643
Hobigonj,2009-2010,206856,220869
Hobigonj,2010-2011,205202,198372
Hobigonj,2011-2012,207845,201368
Hobigonj,2012-2013,212563,203932
Hobigonj,2013-2014,207691,195879
Hobigonj,2014-2015,227794,190599
Jamalpur,1976-1977,0,0
Jamalpur,1977-1978,0,0
Jamalpur,1978-1979,455330,226225
Jamalpur,1979-1980,499990,254870
Jamalpur,1980-1981,537515,267115
Jamalpur,1981-1982,535210,228110
Jamalpur,1982-1983,520425,245950
Jamalpur,1983-1984,497220,236660
Jamalpur,1984-1985,467500,242455
Jamalpur,1985-1986,460810,263500
Jamalpur,1986-1987,468645,263115
Jamalpur,1987-1988,432305,227125
Jamalpur,1988-1989,326255,176005
Jamalpur,1989-1990,365090,218220
Jamalpur,1990-1991,369140,218770
Jamalpur,1991-1992,392950,246080
Jamalpur,1992-1993,410070,244070
Jamalpur,1993-1994,472450,293650
Jamalpur,1994-1995,402950,237160
Jamalpur,1995-1996,430320,239500
Jamalpur,1996-1997,455680,309380
Jamalpur,1997-1998,445560,280550
Jamalpur,1998-1999,323110,208310
Jamalpur,1999-2000,422720,295220
Jamalpur,2000-2001,432590,318490
Jamalpur,2001-2002,425200,425200
Jamalpur,2002-2003,435480,329990
Jamalpur,2003-2004,433780,339530
Jamalpur,2004-2005,396235,294303
Jamalpur,2005-2006,426002,348894
Jamalpur,2006-2007,226670,208401
Jamalpur,2007-2008,213305,152138
Jamalpur,2008-2009,228285,198646
Jamalpur,2009-2010,255288,207129
Jamalpur,2010-2011,251484,221152
Jamalpur,2011-2012,261849,238605
Jamalpur,2012-2013,256410,229982
Jamalpur,2013-2014,265882,251298
Jamalpur,2014-2015,207753,214042
Jessore,1969-1970,552400,231120
Jessore,1970-1971,516210,94430
Jessore,1971-1972,574785,222240
Jessore,1972-1973,536915,191615
Jessore,1973-1974,590930,241110
Jessore,1974-1975,606000,272120
Jessore,1975-1976,604170,291460
Jessore,1976-1977,621995,280945
Jessore,1977-1978,653325,307545
Jessore,1978-1979,660790,303740
Jessore,1979-1980,645155,307630
Jessore,1980-1981,668185,293055
Jessore,1981-1982,665235,267640
Jessore,1982-1983,651930,291130
Jessore,1983-1984,654045,327780
Jessore,1984-1985,516120,322345
Jessore,1985-1986,678820,412170
Jessore,1986-1987,663360,380690
Jessore,1987-1988,651040,360325
Jessore,1988-1989,568290,343025
Jessore,1989-1990,704570,538590
Jessore,1990-1991,716000,529220
Jessore,1991-1992,776650,630830
Jessore,1992-1993,801050,591260
Jessore,1993-1994,777330,586980
Jessore,1994-1995,772250,525490
Jessore,1995-1996,1436670,628160
Jessore,1996-1997,786980,594860
Jessore,1997-1998,789160,571600
Jessore,1998-1999,656380,475630
Jessore,1999-2000,762940,691260
Jessore,2000-2001,622400,517220
Jessore,2001-2002,658140,658140
Jessore,2002-2003,660070,649750
Jessore,2003-2004,705500,787060
Jessore,2004-2005,649053,618543
Jessore,2005-2006,762871,757824
Jessore,2006-2007,330570,332764
Jessore,2007-2008,339730,354555
Jessore,2008-2009,349635,346735
Jessore,2009-2010,341226,313555
Jessore,2010-2011,345560,332402
Jessore,2011-2012,336037,353267
Jessore,2012-2013,327742,317470
Jessore,2013-2014,500714,350174
Jessore,2014-2015,322696,338975
Jhalakathi,2006-2007,105950,58658
Jhalakathi,2007-2008,109550,58609
Jhalakathi,2008-2009,112020,72490
Jhalakathi,2009-2010,113357,78767
Jhalakathi,2010-2011,112387,91207
Jhalakathi,2011-2012,112289,88860
Jhalakathi,2012-2013,110676,65846
Jhalakathi,2013-2014,106325,62868
Jhalakathi,2014-2015,110082,77925
Jhenaidah,2006-2007,208085,181991
Jhenaidah,2007-2008,223760,217045
Jhenaidah,2008-2009,235315,220448
Jhenaidah,2009-2010,186802,195872
Jhenaidah,2010-2011,219380,219741
Jhenaidah,2011-2012,217239,240766
Jhenaidah,2012-2013,211624,230188
Jhenaidah,2013-2014,229226,172671
Jhenaidah,2014-2015,211994,241220
Joypurhat,2006-2007,167455,154873
Joypurhat,2007-2008,168010,157607
